dataset,occurrence_count,distinct_labels,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,lOCodeAndComment,iv(G),N,V,L,D,I,E,B,T
CM1,2,False|True,7.0,1.0,1.0,1.0,30.0,122.62,0.18,5.63,21.8,689.76,0.04,38.32,0,0,0,0.0,9.0,8.0,20.0,10.0,1.0,,,,,,,,,,
JM1,3,False|True,5.0,1.0,1.0,1.0,11.0,34.87,0.4,2.5,13.95,87.17,0.01,4.84,3,0,0,0.0,5.0,4.0,7.0,4.0,1.0,,,,,,,,,,
JM1,11,False|True,5.0,1.0,1.0,1.0,13.0,44.97,0.33,3.0,14.99,134.92,0.01,7.5,3,0,0,0.0,6.0,5.0,8.0,5.0,1.0,,,,,,,,,,
JM1,61,False|True,5.0,1.0,1.0,1.0,15.0,51.89,0.34,2.92,17.79,151.35,0.02,8.41,3,0,0,0.0,5.0,6.0,8.0,7.0,1.0,,,,,,,,,,
JM1,2,False|True,6.0,1.0,1.0,1.0,9.0,23.26,0.5,2.0,11.63,46.53,0.01,2.58,3,0,1,0.0,3.0,3.0,5.0,4.0,1.0,,,,,,,,,,
JM1,3,False|True,6.0,1.0,1.0,1.0,10.0,31.7,0.4,2.5,12.68,79.25,0.01,4.4,3,0,1,0.0,5.0,4.0,6.0,4.0,1.0,,,,,,,,,,
JM1,4,False|True,6.0,1.0,1.0,1.0,13.0,36.5,0.44,2.25,16.21,82.12,0.01,4.56,4,0,0,0.0,3.0,4.0,7.0,6.0,1.0,,,,,,,,,,
JM1,3,False|True,6.0,1.0,1.0,1.0,14.0,46.51,0.33,3.0,15.5,139.52,0.02,7.75,3,0,1,0.0,5.0,5.0,8.0,6.0,1.0,,,,,,,,,,
JM1,3,False|True,6.0,1.0,1.0,1.0,14.0,46.51,0.5,2.0,23.25,93.01,0.02,5.17,4,0,0,0.0,4.0,6.0,8.0,6.0,1.0,,,,,,,,,,
JM1,22,False|True,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
JM1,3,False|True,7.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,2,1,0,0.0,4.0,2.0,4.0,2.0,1.0,,,,,,,,,,
JM1,5,False|True,7.0,1.0,1.0,1.0,16.0,55.35,0.34,2.92,18.98,161.44,0.02,8.97,4,0,1,0.0,5.0,6.0,9.0,7.0,1.0,,,,,,,,,,
JM1,3,False|True,7.0,2.0,1.0,1.0,12.0,39.86,0.21,4.67,8.54,186.03,0.01,10.33,5,0,0,0.0,7.0,3.0,8.0,4.0,3.0,,,,,,,,,,
JM1,4,False|True,7.0,2.0,1.0,2.0,12.0,39.86,0.27,3.75,10.63,149.49,0.01,8.3,5,0,0,0.0,6.0,4.0,7.0,5.0,3.0,,,,,,,,,,
JM1,13,False|True,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
JM1,2,False|True,8.0,1.0,1.0,1.0,14.0,46.51,0.33,3.0,15.5,139.52,0.02,7.75,4,0,2,0.0,5.0,5.0,8.0,6.0,1.0,,,,,,,,,,
JM1,9,False|True,8.0,1.0,1.0,1.0,15.0,53.77,0.24,4.2,12.8,225.85,0.02,12.55,4,0,2,0.0,7.0,5.0,9.0,6.0,1.0,,,,,,,,,,
JM1,5,False|True,8.0,1.0,1.0,1.0,19.0,65.73,0.3,3.33,19.72,219.1,0.02,12.17,5,0,1,0.0,5.0,6.0,11.0,8.0,1.0,,,,,,,,,,
JM1,3,False|True,8.0,1.0,1.0,1.0,31.0,118.03,0.17,6.0,19.67,708.17,0.04,39.34,5,0,0,1.0,7.0,7.0,19.0,12.0,1.0,,,,,,,,,,
JM1,3,False|True,8.0,2.0,1.0,1.0,26.0,104.0,0.12,8.33,12.48,866.67,0.03,48.15,4,0,1,0.0,10.0,6.0,16.0,10.0,3.0,,,,,,,,,,
JM1,4,False|True,8.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,
JM1,2,False|True,10.0,1.0,1.0,1.0,18.0,66.61,0.29,3.43,19.43,228.37,0.02,12.69,5,0,3,0.0,6.0,7.0,10.0,8.0,1.0,,,,,,,,,,
JM1,6,False|True,11.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
JM1,9,False|True,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
JM1,11,False|True,12.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,
JM1,4,False|True,12.0,2.0,1.0,2.0,18.0,64.53,0.25,4.0,16.12,258.12,0.02,14.34,9,0,1,0.0,6.0,6.0,10.0,8.0,3.0,,,,,,,,,,
JM1,3,False|True,12.0,3.0,1.0,2.0,22.0,88.0,0.12,8.33,10.56,733.33,0.03,40.74,9,0,1,0.0,10.0,6.0,12.0,10.0,5.0,,,,,,,,,,
JM1,15,False|True,13.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
JM1,9,False|True,14.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
JM1,13,False|True,14.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,
JM1,3,False|True,14.0,3.0,1.0,3.0,33.0,125.64,0.12,8.67,14.5,1088.9,0.04,60.49,12,0,0,0.0,8.0,6.0,20.0,13.0,5.0,,,,,,,,,,
JM1,2,False|True,14.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.0,,,,,,,,,,
JM1,4,False|True,15.0,2.0,1.0,2.0,35.0,151.27,0.19,5.33,28.36,806.76,0.05,44.82,13,0,2,0.0,8.0,12.0,19.0,16.0,3.0,,,,,,,,,,
JM1,3,False|True,15.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,
JM1,12,False|True,16.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,
JM1,4,False|True,16.0,2.0,1.0,2.0,34.0,144.43,0.13,7.56,19.1,1092.25,0.05,60.68,10,0,4,0.0,11.0,8.0,23.0,11.0,3.0,,,,,,,,,,
JM1,3,False|True,18.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
JM1,4,False|True,18.0,1.0,1.0,1.0,18.0,72.0,0.3,3.3,21.82,237.6,0.02,13.2,14,0,2,0.0,6.0,10.0,7.0,11.0,1.0,,,,,,,,,,
JM1,5,False|True,18.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,
JM1,12,False|True,18.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,
JM1,3,False|True,18.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,
JM1,2,False|True,18.0,4.0,1.0,1.0,47.0,212.61,0.12,8.25,25.77,1754.01,0.07,97.45,12,1,3,0.0,11.0,12.0,29.0,18.0,7.0,,,,,,,,,,
JM1,3,False|True,19.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
JM1,9,False|True,19.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,
JM1,3,False|True,19.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,
JM1,6,False|True,20.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
JM1,2,False|True,20.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,
JM1,3,False|True,20.0,2.0,1.0,2.0,59.0,292.3,0.14,7.26,40.24,2123.0,0.1,117.94,15,0,1,0.0,12.0,19.0,36.0,23.0,3.0,,,,,,,,,,
JM1,2,False|True,20.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,
JM1,3,False|True,20.0,3.0,1.0,3.0,41.0,182.84,0.13,7.8,23.44,1426.13,0.06,79.23,14,0,4,0.0,12.0,10.0,28.0,13.0,5.0,,,,,,,,,,
JM1,4,False|True,22.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
JM1,3,False|True,22.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,
JM1,2,False|True,23.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
JM1,4,False|True,23.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,
JM1,3,False|True,24.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,
JM1,4,False|True,24.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.0,,,,,,,,,,
JM1,2,False|True,24.0,15.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,29.0,,,,,,,,,,
JM1,3,False|True,25.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,
JM1,2,False|True,26.0,3.0,1.0,2.0,73.0,350.94,0.06,16.67,21.06,5848.95,0.12,324.94,17,4,3,0.0,16.0,12.0,48.0,25.0,5.0,,,,,,,,,,
JM1,3,False|True,26.0,4.0,3.0,2.0,50.0,235.02,0.1,10.0,23.5,2350.22,0.08,130.57,16,0,5,3.0,13.0,13.0,30.0,20.0,7.0,,,,,,,,,,
JM1,2,False|True,26.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,11.0,,,,,,,,,,
JM1,4,False|True,28.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,
JM1,3,False|True,28.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.0,,,,,,,,,,
JM1,2,False|True,33.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,
JM1,3,False|True,34.0,7.0,5.0,4.0,119.0,641.69,0.06,17.68,36.29,11345.0,0.21,630.28,26,1,5,0.0,17.0,25.0,67.0,52.0,13.0,,,,,,,,,,
JM1,2,False|True,35.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.0,,,,,,,,,,
JM1,2,False|True,39.0,5.0,1.0,5.0,83.0,425.73,0.12,8.48,50.21,3609.84,0.14,200.55,28,2,5,2.0,11.0,24.0,46.0,37.0,9.0,,,,,,,,,,
JM1,2,False|True,40.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,11.0,,,,,,,,,,
JM1,7,False|True,42.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,
JM1,2,False|True,42.0,15.0,10.0,7.0,194.0,995.08,0.02,50.25,19.8,50002.82,0.33,2777.93,29,6,2,3.0,21.0,14.0,127.0,67.0,29.0,,,,,,,,,,
JM1,2,False|True,78.0,15.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,29.0,,,,,,,,,,
JM1,2,False|True,80.0,12.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.0,,,,,,,,,,
KC1,22,False|True,2.0,1.0,1.0,1.0,3.0,4.75,1.0,1.0,4.75,4.75,0.0,0.26,0,0,0,0.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,
KC1,13,False|True,2.0,1.0,1.0,1.0,5.0,11.61,0.5,2.0,5.8,23.22,0.0,1.29,0,0,0,0.0,4.0,1.0,4.0,1.0,1.0,,,,,,,,,,
KC1,7,False|True,2.0,1.0,1.0,1.0,6.0,15.51,0.4,2.5,6.2,38.77,0.01,2.15,0,0,0,0.0,5.0,1.0,5.0,1.0,1.0,,,,,,,,,,
KC1,73,False|True,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,
KC1,8,False|True,3.0,1.0,1.0,1.0,4.0,8.0,1.0,1.0,8.0,8.0,0.0,0.44,2,0,0,0.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,
KC1,3,False|True,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,
KC1,59,False|True,4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,0.0,3.0,1.0,3.0,1.0,1.0,,,,,,,,,,
KC1,5,False|True,4.0,1.0,1.0,1.0,4.0,8.0,1.0,1.0,8.0,8.0,0.0,0.44,1,0,0,0.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,
KC1,20,False|True,4.0,1.0,1.0,1.0,5.0,11.61,0.5,2.0,5.8,23.22,0.0,1.29,2,0,0,0.0,4.0,1.0,4.0,1.0,1.0,,,,,,,,,,
KC1,13,False|True,4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,0,0.0,3.0,2.0,3.0,2.0,1.0,,,,,,,,,,
KC1,2,False|True,4.0,1.0,1.0,1.0,6.0,15.51,0.4,2.5,6.2,38.77,0.01,2.15,2,0,0,0.0,5.0,1.0,5.0,1.0,1.0,,,,,,,,,,
KC1,2,False|True,8.0,1.0,1.0,1.0,14.0,50.19,0.33,3.0,16.73,150.57,0.02,8.36,4,0,1,0.0,6.0,6.0,8.0,6.0,1.0,,,,,,,,,,
KC1,2,False|True,11.0,1.0,1.0,1.0,11.0,36.54,0.33,3.0,12.18,109.62,0.01,6.09,6,0,1,0.0,6.0,4.0,7.0,4.0,1.0,,,,,,,,,,
KC1,2,False|True,11.0,1.0,1.0,1.0,22.0,76.11,0.3,3.33,22.83,253.69,0.03,14.09,6,1,2,0.0,5.0,6.0,14.0,8.0,1.0,,,,,,,,,,
KC1,7,False|True,17.0,2.0,1.0,2.0,25.0,92.51,0.16,6.4,14.45,592.07,0.03,32.89,12,0,3,0.0,8.0,5.0,17.0,8.0,3.0,,,,,,,,,,
KC1,3,False|True,22.0,1.0,1.0,1.0,69.0,331.71,0.18,5.6,59.23,1857.56,0.11,103.2,13,0,0,0.0,8.0,20.0,41.0,28.0,1.0,,,,,,,,,,
KC1,3,False|True,23.0,1.0,1.0,1.0,69.0,331.71,0.18,5.6,59.23,1857.56,0.11,103.2,13,0,0,0.0,8.0,20.0,41.0,28.0,1.0,,,,,,,,,,
KC1,2,False|True,25.0,3.0,1.0,3.0,58.0,254.75,0.11,9.35,27.25,2381.95,0.08,132.33,21,0,2,0.0,11.0,10.0,41.0,17.0,5.0,,,,,,,,,,
KC1,2,False|True,39.0,5.0,3.0,5.0,86.0,430.0,0.09,11.67,36.86,5016.67,0.14,278.7,33,1,1,0.0,14.0,18.0,56.0,30.0,8.0,,,,,,,,,,
KC1,5,False|True,51.0,13.0,8.0,13.0,138.0,713.45,0.05,20.13,35.44,14362.87,0.24,797.94,44,3,2,0.0,17.0,19.0,93.0,45.0,25.0,,,,,,,,,,
KC2,12,no|yes,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,
KC2,63,no|yes,4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,,3.0,1.0,3.0,1.0,1.0,0.0,,,,,,,,,
KC2,5,no|yes,4.0,1.0,1.0,1.0,5.0,11.61,0.5,2.0,5.8,23.22,0.0,1.29,2,0,0,,4.0,1.0,4.0,1.0,1.0,0.0,,,,,,,,,
KC2,23,no|yes,4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,0,,3.0,2.0,3.0,2.0,1.0,0.0,,,,,,,,,
KC2,10,no|yes,8.0,1.0,1.0,1.0,10.0,30.0,0.3,3.33,9.0,100.0,0.01,5.56,4,0,1,,5.0,3.0,6.0,4.0,1.0,0.0,,,,,,,,,
KC2,5,no|yes,10.0,2.0,1.0,2.0,18.0,64.53,0.14,7.0,9.22,451.71,0.02,25.09,8,0,0,,8.0,4.0,11.0,7.0,3.0,0.0,,,,,,,,,
PC1,3,False|True,12.0,2.0,1.0,,,,,,,,,,12,0,8,0.0,10.0,14.0,24.0,17.0,3.0,,2.0,41.0,187.98,0.16,6.07,30.96,1141.33,0.06,63.41
PC1,2,False|True,14.0,3.0,1.0,,,,,,,,,,14,0,7,0.0,10.0,14.0,29.0,18.0,5.0,,3.0,47.0,215.49,0.16,6.43,33.52,1385.31,0.07,76.96
PC1,2,False|True,22.0,3.0,1.0,,,,,,,,,,22,0,15,0.0,11.0,21.0,43.0,31.0,5.0,,3.0,74.0,370.0,0.12,8.11,45.57,3004.05,0.12,166.89
PC1,2,False|True,22.0,5.0,5.0,,,,,,,,,,22,0,13,0.0,17.0,24.0,59.0,41.0,9.0,,4.0,100.0,535.76,0.07,14.52,36.9,7779.61,0.18,432.2
PC1,2,False|True,22.0,5.0,5.0,,,,,,,,,,22,0,12,0.0,17.0,25.0,59.0,41.0,9.0,,4.0,100.0,539.23,0.07,13.94,38.68,7516.89,0.18,417.61
PC1,2,False|True,34.0,6.0,6.0,,,,,,,,,,34,5,19,0.0,19.0,38.0,108.0,68.0,11.0,,6.0,176.0,1026.58,0.06,17.0,60.39,17452.01,0.34,969.56
